result;epochs;subset;metric
0.5005599104143337;1;train;acc
0.5750279955207167;2;train;acc
0.5870660694288914;3;train;acc
0.6100223964165733;4;train;acc
0.6178611422172452;5;train;acc
0.6209406494960806;6;train;acc
0.6301791713325868;7;train;acc
0.6408174692049272;8;train;acc
0.6483762597984323;9;train;acc
0.6528555431131019;10;train;acc
0.656494960806271;11;train;acc
0.6654535274356103;12;train;acc
0.6746920492721165;13;train;acc
0.68505039193729;14;train;acc
0.6998880179171333;15;train;acc
0.6940089585666294;16;train;acc
0.6940089585666294;17;train;acc
0.7116461366181411;18;train;acc
0.7147256438969765;19;train;acc
0.721444568868981;20;train;acc
0.7306830907054871;21;train;acc
0.593505039193729;1;valid;acc
0.6091825307950728;2;valid;acc
0.6226203807390818;3;valid;acc
0.6125419932810751;4;valid;acc
0.6170212765957447;5;valid;acc
0.6382978723404256;6;valid;acc
0.631578947368421;7;valid;acc
0.6103023516237402;8;valid;acc
0.5867861142217246;9;valid;acc
0.6181410974244121;10;valid;acc
0.6091825307950728;11;valid;acc
0.6539753639417694;12;valid;acc
0.6562150055991042;13;valid;acc
0.6741321388577828;14;valid;acc
0.6382978723404256;15;valid;acc
0.6696528555431132;16;valid;acc
0.6382978723404256;17;valid;acc
0.6651735722284434;18;valid;acc
0.6629339305711086;19;valid;acc
0.6237402015677491;20;valid;acc
0.6864501679731243;21;valid;acc
1.1384490793789888;1;train;loss
1.0170281646900454;2;train;loss
0.9823646716281255;3;train;loss
0.9585975757638391;4;train;loss
0.9442383180406834;5;train;loss
0.9338260851007827;6;train;loss
0.9070804147143647;7;train;loss
0.8837268728291467;8;train;loss
0.8746170246053784;9;train;loss
0.8551872830508404;10;train;loss
0.8447659398113093;11;train;loss
0.8313408207653085;12;train;loss
0.80209998214098;13;train;loss
0.7728828789806046;14;train;loss
0.7679835690095737;15;train;loss
0.7686334396529972;16;train;loss
0.7521284932785846;17;train;loss
0.7240038634948475;18;train;loss
0.714319697953552;19;train;loss
0.6968874594932974;20;train;loss
0.6791323501812784;21;train;loss
0.9888360202646203;1;valid;loss
0.9491345560030067;2;valid;loss
0.9367837745692135;3;valid;loss
0.9257635154489173;4;valid;loss
0.9328020130266401;5;valid;loss
0.8843235781318263;6;valid;loss
0.8953132335042366;7;valid;loss
0.9708352014839583;8;valid;loss
1.0374855640086722;9;valid;loss
0.8979517035228007;10;valid;loss
0.9644091387612022;11;valid;loss
0.8466540113141529;12;valid;loss
0.8378769105252333;13;valid;loss
0.8247261294325415;14;valid;loss
0.9246467464047611;15;valid;loss
0.8211291527828204;16;valid;loss
0.899263879486588;17;valid;loss
0.8146826285797965;18;valid;loss
0.8214277005676193;19;valid;loss
0.9796934990172691;20;valid;loss
0.7913472453530666;21;valid;loss
